x-axis,1,2
second,Volt,Volt
+401.0000E-06,+272.5496717E-03,+510.4764936E-03
+401.1050E-06,+268.5295712E-03,+829.5001860E-03
+401.2100E-06,+258.6228949E-03,+1.1476624282E+00
+401.3150E-06,+256.3974821E-03,+1.4829100977E+00
+401.4200E-06,+218.6372521E-03,+1.6972676012E+00
+401.5250E-06,+126.8210274E-03,+2.0445755723E+00
+401.6300E-06,+187.7686230E-03,+2.2804693287E+00
+401.7350E-06,+179.5848469E-03,+2.6658246799E+00
+401.8400E-06,+150.7262681E-03,+2.9872891476E+00
+401.9450E-06,+80.5180837E-03,+3.2521850577E+00
+402.0500E-06,+112.4635255E-03,+3.5298591446E+00
+402.1550E-06,+85.3278469E-03,+3.7808282780E+00
+402.2600E-06,+76.2826207E-03,+4.0152862841E+00
+402.3650E-06,+28.6875018E-03,+4.4213164380E+00
+402.4700E-06,+56.9717806E-03,+4.6497442934E+00
+402.5750E-06,+42.4707037E-03,+4.8055231891E+00
+402.6800E-06,-75.4761745E-03,+5.1159323803E+00
+402.7850E-06,-51.8580838E-03,+5.3844176660E+00
+402.8900E-06,-80.1423626E-03,+5.6302180986E+00
+402.9950E-06,-119.1947678E-03,+5.8653939798E+00
+403.1000E-06,-133.7676322E-03,+6.0323717270E+00
+403.2050E-06,-142.8846459E-03,+6.3269876662E+00
+403.3100E-06,-214.6003680E-03,+6.4831972869E+00
+403.4150E-06,-211.2263550E-03,+6.8000673540E+00
+403.5200E-06,-228.5989323E-03,+6.9635993007E+00
+403.6250E-06,-260.4725866E-03,+7.1077486199E+00
+403.7300E-06,-284.0188897E-03,+7.4392633389E+00
+403.8350E-06,-314.8157313E-03,+7.6345253648E+00
+403.9400E-06,-338.2902469E-03,+7.8814743976E+00
+404.0450E-06,-384.3778280E-03,+7.9907349871E+00
+404.1500E-06,-359.5393497E-03,+8.1752288866E+00
+404.2550E-06,-368.3692134E-03,+8.4338074960E+00
+404.3600E-06,-399.7403551E-03,+8.6165784953E+00
+404.4650E-06,-477.4144404E-03,+8.6873609797E+00
+404.5700E-06,-492.2744548E-03,+8.8402683750E+00
+404.6750E-06,-549.7762500E-03,+8.9433552387E+00
+404.7800E-06,-562.0519141E-03,+9.0999955845E+00
+404.8850E-06,-578.3476788E-03,+9.2274902014E+00
+404.9900E-06,-608.0677077E-03,+9.4197371519E+00
+405.0950E-06,-591.4130055E-03,+9.5516825945E+00
+405.2000E-06,-645.6125752E-03,+9.6490264574E+00
+405.3050E-06,-748.6276514E-03,+9.6490264574E+00
+405.4100E-06,-736.0648372E-03,+9.7205268169E+00
+405.5150E-06,-748.6276514E-03,+9.9373250957E+00
+405.6200E-06,-775.0454549E-03,+9.9279927194E+00
+405.7250E-06,-813.5953475E-03,+9.9462267469E+00
+405.8300E-06,-797.2277953E-03,+9.9865713272E+00
+405.9350E-06,-905.5551472E-03,+9.9946115283E+00
+406.0400E-06,-959.3957794E-03,+10.1920271795E+00
+406.1450E-06,-954.5860163E-03,+10.1012877675E+00
+406.2500E-06,-960.4008045E-03,+10.1479496487E+00
+406.3550E-06,-950.2787657E-03,+10.2260544590E+00
+406.4600E-06,-1.0102213361E+00,+10.2091126068E+00
+406.5650E-06,-1.0501351914E+00,+10.1772389525E+00
+406.6700E-06,-1.0815781206E+00,+10.1515390241E+00
+406.7750E-06,-1.0214201876E+00,+10.1357457720E+00
+406.8800E-06,-1.1347008777E+00,+10.1834126784E+00
+406.9850E-06,-1.0892593841E+00,+10.0767364392E+00
+407.0900E-06,-1.1471919043E+00,+10.0155734811E+00
+407.1950E-06,-1.1557346180E+00,+10.0211729068E+00
+407.3000E-06,-1.1642773316E+00,+9.8773107377E+00
+407.4050E-06,-1.2666463202E+00,+9.9002827408E+00
+407.5100E-06,-1.2302500529E+00,+9.7914528763E+00
+407.6150E-06,-1.2511402181E+00,+9.6741520857E+00
+407.7200E-06,-1.3102931260E+00,+9.5460831687E+00
+407.8250E-06,-1.3265171032E+00,+9.5987752007E+00
+407.9300E-06,-1.3118724512E+00,+9.3223932890E+00
+408.0350E-06,-1.2975149493E+00,+9.2576409554E+00
+408.1400E-06,-1.3588932700E+00,+9.1279927132E+00
+408.2450E-06,-1.3364955670E+00,+8.9455088640E+00
+408.3500E-06,-1.3990224878E+00,+8.8048053453E+00
+408.4550E-06,-1.4029708008E+00,+8.6964062059E+00
+408.5600E-06,-1.3767683598E+00,+8.4870738281E+00
+408.6650E-06,-1.3988789128E+00,+8.3848484145E+00
+408.7700E-06,-1.4624108587E+00,+8.1841305378E+00
+408.8750E-06,-1.4593239958E+00,+8.0409862438E+00
+408.9800E-06,-1.4649234215E+00,+7.7446474044E+00
+409.0850E-06,-1.5001710887E+00,+7.5785311074E+00
+409.1900E-06,-1.4771272982E+00,+7.4131326854E+00
+409.2950E-06,-1.5022529265E+00,+7.1739367036E+00
+409.4000E-06,-1.5400849440E+00,+7.0115533571E+00
+409.5050E-06,-1.5252249295E+00,+6.8576409366E+00
+409.6100E-06,-1.5029708016E+00,+6.5568512717E+00
+409.7150E-06,-1.5166822159E+00,+6.3895863745E+00
+409.8200E-06,-1.5349880308E+00,+6.0886531345E+00
+409.9250E-06,-1.5207023164E+00,+5.7753724429E+00
+410.0300E-06,-1.5652105724E+00,+5.6289259234E+00
+410.1350E-06,-1.5219227041E+00,+5.2464420726E+00
+410.2400E-06,-1.5526477582E+00,+5.1907349652E+00
+410.3450E-06,-1.6004582395E+00,+4.8273465920E+00
+410.4500E-06,-1.5436743195E+00,+4.5176552758E+00
