x-axis,1,2
second,Volt,Volt
+401.0000E-06,-867.0770421E-03,+392.0271029E-03
+401.1050E-06,-887.2493323E-03,+476.0184890E-03
+401.2100E-06,-945.1818525E-03,+448.5956604E-03
+401.3150E-06,-928.7425128E-03,+436.6789338E-03
+401.4200E-06,-955.7346164E-03,+641.8476360E-03
+401.5250E-06,-1.0878236339E+00,+711.4815203E-03
+401.6300E-06,-1.1049808487E+00,+720.2395964E-03
+401.7350E-06,-1.0758351199E+00,+828.2080108E-03
+401.8400E-06,-1.1363519904E+00,+783.1254548E-03
+401.9450E-06,-1.1608315311E+00,+825.1929354E-03
+402.0500E-06,-1.1710971450E+00,+855.0565394E-03
+402.1550E-06,-1.2230713019E+00,+839.5504373E-03
+402.2600E-06,-1.1967252859E+00,+863.3838905E-03
+402.3650E-06,-1.2637030323E+00,+957.1383779E-03
+402.4700E-06,-1.2762658465E+00,+978.2439057E-03
+402.5750E-06,-1.2855982227E+00,+1.1120558235E+00
+402.6800E-06,-1.3359212669E+00,+1.0497442652E+00
+402.7850E-06,-1.3463304558E+00,+1.1130608486E+00
+402.8900E-06,-1.3642055457E+00,+1.1261261754E+00
+402.9950E-06,-1.3806448853E+00,+1.2016466354E+00
+403.1000E-06,-1.4848085617E+00,+1.1134915737E+00
+403.2050E-06,-1.4341265799E+00,+1.1511082287E+00
+403.3100E-06,-1.4441050438E+00,+1.2381146902E+00
+403.4150E-06,-1.4889004497E+00,+1.2994212234E+00
+403.5200E-06,-1.4936384254E+00,+1.2243314884E+00
+403.6250E-06,-1.5131646279E+00,+1.1924578342E+00
+403.7300E-06,-1.5151746782E+00,+1.2328024145E+00
+403.8350E-06,-1.5275221299E+00,+1.2895145471E+00
+403.9400E-06,-1.5402285190E+00,+1.2819050710E+00
+404.0450E-06,-1.5212766165E+00,+1.2317973894E+00
+404.1500E-06,-1.5318293804E+00,+1.2154298372E+00
+404.2550E-06,-1.5583189714E+00,+1.2205985379E+00
+404.3600E-06,-1.5158207658E+00,+1.1343099514E+00
+404.4650E-06,-1.6120160286E+00,+1.1989187100E+00
+404.5700E-06,-1.5852392875E+00,+1.2115533117E+00
+404.6750E-06,-1.5390081314E+00,+1.3460831046E+00
+404.7800E-06,-1.5689435229E+00,+1.2998519484E+00
+404.8850E-06,-1.5554474711E+00,+1.2431398159E+00
+404.9900E-06,-1.5785630491E+00,+1.2303616392E+00
+405.0950E-06,-1.6733943492E+00,+1.2546258174E+00
+405.2000E-06,-1.5619801344E+00,+1.2498878418E+00
